,track_id,race_date,race_number,program_number,weight_carried,jockey,odds,position_at_finish,horse_id
30,AQU,2019-01-01,5,6--,123,Rajiv Maragh,305,1,26
31,AQU,2019-01-01,5,7--,123,Junior Alvarado,380,5,30
32,AQU,2019-01-01,5,8--,121,Manuel Franco,1670,2,27
33,AQU,2019-01-01,6,10-,120,Eric Cancel,780,4,36
34,AQU,2019-01-01,6,2--,120,Junior Alvarado,640,3,35
35,AQU,2019-01-01,6,5--,120,Jose Lezcano,560,7,39
36,AQU,2019-01-01,6,6--,115,Reylu Gutierrez,105,1,33
37,AQU,2019-01-01,6,7--,120,Andre Shivnarine Worrie,590,2,34
38,AQU,2019-01-01,6,8--,120,Rajiv Maragh,1590,6,38
39,AQU,2019-01-01,6,9--,120,Manuel Franco,850,5,37
40,AQU,2019-01-01,7,1--,121,Rajiv Maragh,950,3,42
41,AQU,2019-01-01,7,2--,123,Frankie Pennington,590,2,41
42,AQU,2019-01-01,7,3--,121,Luis R. Reyes,270,4,43
43,AQU,2019-01-01,7,5--,116,Reylu Gutierrez,710,7,46
44,AQU,2019-01-01,7,6--,119,Manuel Franco,360,5,44
45,AQU,2019-01-01,7,7--,119,Dylan Davis,1990,6,45
46,AQU,2019-01-01,7,9--,121,Junior Alvarado,235,1,40
47,AQU,2019-01-01,8,1--,118,Jose Lezcano,540,6,52
48,AQU,2019-01-01,8,2--,118,Dylan Davis,420,3,49
49,AQU,2019-01-01,8,3--,123,John R. Velazquez,150,1,47
50,AQU,2019-01-01,8,4--,120,Jorge A. Vargas Jr.,900,2,48
51,AQU,2019-01-01,8,5--,118,Frankie Pennington,1400,4,50
52,AQU,2019-01-01,8,6--,118,Junior Alvarado,245,5,51
53,AQU,2019-01-01,9,1--,120,Harry Hernandez,5100,9,61
54,AQU,2019-01-01,9,10-,120,Luis R. Reyes,2370,2,54
55,AQU,2019-01-01,9,11-,120,Rajiv Maragh,3000,4,56
56,AQU,2019-01-01,9,3--,113,Benjamin Hernandez,110,1,53
57,AQU,2019-01-01,9,4--,122,Joel Sone,335,6,58
58,AQU,2019-01-01,9,6--,120,Andre Shivnarine Worrie,2090,8,60
59,AQU,2019-01-01,9,7--,124,Manuel Franco,395,7,59
60,AQU,2019-01-01,9,8--,115,Reylu Gutierrez,850,3,55
61,AQU,2019-01-01,9,9--,113,Joey R. Martinez,1960,5,57
62,AQU,2019-01-04,1,1--,115,Reylu Gutierrez,2625,6,67
63,AQU,2019-01-04,1,2--,120,Manuel Franco,410,4,65
64,AQU,2019-01-04,1,3--,120,Rajiv Maragh,345,3,64
65,AQU,2019-01-04,1,4--,120,Junior Alvarado,1900,1,62
66,AQU,2019-01-04,1,5--,120,Eric Cancel,55,2,63
67,AQU,2019-01-04,1,6--,120,Jose Lezcano,1900,5,66
68,AQU,2019-01-04,2,1--,120,Eric Cancel,1660,4,71
69,AQU,2019-01-04,2,2--,120,Luis R. Reyes,165,3,70
70,AQU,2019-01-04,2,3--,120,Dylan Davis,840,5,72
71,AQU,2019-01-04,2,4--,120,Manuel Franco,190,1,68
72,AQU,2019-01-04,2,5--,115,Reylu Gutierrez,750,2,69
73,AQU,2019-01-04,2,6--,120,Junior Alvarado,410,6,73
74,AQU,2019-01-04,3,1--,111,Julio Correa,5175,5,78
75,AQU,2019-01-04,3,2--,123,Manuel Franco,880,2,75
76,AQU,2019-01-04,3,3--,123,Harry Hernandez,385,1,74
77,AQU,2019-01-04,3,4--,121,Jose Lezcano,150,4,77
78,AQU,2019-01-04,3,5--,116,Benjamin Hernandez,520,6,79
79,AQU,2019-01-04,3,7--,123,Junior Alvarado,220,3,76
80,AQU,2019-01-04,4,1--,120,Manuel Franco,180,1,80
81,AQU,2019-01-04,4,2--,120,Luis R. Reyes,195,3,82
82,AQU,2019-01-04,4,3--,120,Michael J. Luzzi,1310,7,86
83,AQU,2019-01-04,4,4--,120,Hector Rafael Diaz Jr.,400,4,83
84,AQU,2019-01-04,4,5--,115,Reylu Gutierrez,930,2,81
85,AQU,2019-01-04,4,6--,120,Pablo Fragoso,3475,6,85
86,AQU,2019-01-04,4,7--,120,Eric Cancel,860,5,84
87,AQU,2019-01-04,5,1--,120,Jose Lezcano,1380,5,91
88,AQU,2019-01-04,5,2--,113,Joey R. Martinez,710,4,90
89,AQU,2019-01-04,5,3--,124,Dylan Davis,105,1,87
90,AQU,2019-01-04,5,4--,120,Junior Alvarado,390,3,89
91,AQU,2019-01-04,5,5--,120,Manuel Franco,460,6,92
92,AQU,2019-01-04,5,6--,115,Reylu Gutierrez,640,2,88
93,AQU,2019-01-04,6,1--,119,Jose Lezcano,1230,7,99
94,AQU,2019-01-04,6,2--,123,Junior Alvarado,710,2,94
95,AQU,2019-01-04,6,3--,119,Manuel Franco,235,1,93
96,AQU,2019-01-04,6,4--,121,Christopher P. DeCarlo,4775,6,98
97,AQU,2019-01-04,6,5--,121,Dylan Davis,205,5,97
98,AQU,2019-01-04,6,6--,114,Reylu Gutierrez,240,3,95
99,AQU,2019-01-04,6,7--,112,Benjamin Hernandez,1500,4,96
100,AQU,2019-01-04,7,1A-,119,Andre Shivnarine Worrie,2050,4,103
101,AQU,2019-01-04,7,2--,119,Rajiv Maragh,730,2,101
102,AQU,2019-01-04,7,4--,119,Jose Lezcano,750,5,104
103,AQU,2019-01-04,7,5--,119,Eric Cancel,190,1,100
104,AQU,2019-01-04,7,6--,121,Manuel Franco,195,6,105
105,AQU,2019-01-04,7,7--,119,Junior Alvarado,330,3,102
106,AQU,2019-01-04,8,1--,121,Dylan Davis,1130,7,112
107,AQU,2019-01-04,8,2--,112,Heman K. Harkie,2900,5,110
108,AQU,2019-01-04,8,3--,121,Manuel Franco,40,2,107
109,AQU,2019-01-04,8,4--,121,Jorge M. Perez,550,1,106
110,AQU,2019-01-04,8,6--,121,Luis R. Reyes,5975,3,108
111,AQU,2019-01-04,8,7--,121,Michael J. Luzzi,2925,4,109
112,AQU,2019-01-04,8,8--,114,Benjamin Hernandez,460,6,111
113,AQU,2019-01-05,1,1--,121,Luis R. Reyes,175,6,118
114,AQU,2019-01-05,1,3--,121,Eric Cancel,530,4,116
115,AQU,2019-01-05,1,4--,121,Manuel Franco,220,2,114
116,AQU,2019-01-05,1,5--,114,Joey R. Martinez,2725,3,115
117,AQU,2019-01-05,1,6--,121,Dalton Brown,5050,5,117
118,AQU,2019-01-05,1,8--,121,Rajiv Maragh,220,1,113
119,AQU,2019-01-05,2,1--,122,Manuel Franco,240,2,120
120,AQU,2019-01-05,2,2--,120,Dyn Panell,2925,3,121
121,AQU,2019-01-05,2,3--,122,Jose Lezcano,2525,6,124
122,AQU,2019-01-05,2,4--,117,Reylu Gutierrez,205,4,122
123,AQU,2019-01-05,2,5--,120,Junior Alvarado,155,1,119
124,AQU,2019-01-05,2,6--,122,David Cohen,770,5,123
125,AQU,2019-01-05,3,1--,120,Dylan Davis,180,5,129
126,AQU,2019-01-05,3,2--,120,Hector Rafael Diaz Jr.,900,4,128
127,AQU,2019-01-05,3,4--,120,Dalton Brown,5900,6,130
128,AQU,2019-01-05,3,5--,120,Manuel Franco,570,1,125
129,AQU,2019-01-05,3,6--,120,Jose Lezcano,560,3,127
130,AQU,2019-01-05,3,7--,120,Junior Alvarado,135,2,126
131,AQU,2019-01-05,4,1A-,121,Dylan Davis,540,1,131
132,AQU,2019-01-05,4,2--,121,Manuel Franco,355,5,135
133,AQU,2019-01-05,4,3--,121,Christopher P. DeCarlo,900,8,138
134,AQU,2019-01-05,4,4--,121,Samuel Jimenez,2975,3,133
135,AQU,2019-01-05,4,5--,121,Rajiv Maragh,1730,4,134
136,AQU,2019-01-05,4,6--,121,Eric Cancel,640,2,132
137,AQU,2019-01-05,4,7--,121,David Cohen,385,6,136
138,AQU,2019-01-05,4,8--,121,Jose Lezcano,240,7,137
139,AQU,2019-01-05,5,1--,121,Dylan Davis,870,2,140
140,AQU,2019-01-05,5,2--,119,Manuel Franco,1400,5,143
141,AQU,2019-01-05,5,3--,119,Michael J. Luzzi,1240,6,144
142,AQU,2019-01-05,5,4--,119,Jose Lezcano,315,1,139
143,AQU,2019-01-05,5,5--,112,Benjamin Hernandez,255,4,142
144,AQU,2019-01-05,5,6--,119,Junior Alvarado,130,3,141
145,AQU,2019-01-05,6,1--,115,Reylu Gutierrez,2875,5,149
146,AQU,2019-01-05,6,11-,120,Dylan Davis,1790,7,151
147,AQU,2019-01-05,6,2--,120,Manuel Franco,790,4,148
148,AQU,2019-01-05,6,3--,120,Junior Alvarado,90,2,146
149,AQU,2019-01-05,6,5--,120,Rafael Manuel Hernandez,7225,9,153
150,AQU,2019-01-05,6,6--,120,Eric Cancel,760,6,150
151,AQU,2019-01-05,6,7--,120,Jose Lezcano,1210,8,152
152,AQU,2019-01-05,6,8--,120,Rajiv Maragh,1600,3,147
153,AQU,2019-01-05,6,9--,120,Michael J. Luzzi,375,1,145
154,AQU,2019-01-05,7,1--,121,Rajiv Maragh,285,2,155
155,AQU,2019-01-05,7,2--,121,Christopher P. DeCarlo,750,4,157
156,AQU,2019-01-05,7,3--,123,Dylan Davis,940,3,156
157,AQU,2019-01-05,7,5--,118,Reylu Gutierrez,4700,5,158
158,AQU,2019-01-05,7,6--,121,Junior Alvarado,275,7,160
159,AQU,2019-01-05,7,7--,121,Manuel Franco,385,6,159
160,AQU,2019-01-05,7,8--,123,Jose Lezcano,335,1,154
161,AQU,2019-01-05,8,10-,118,Rajiv Maragh,190,3,163
162,AQU,2019-01-05,8,2--,118,Christopher P. DeCarlo,2400,4,164
163,AQU,2019-01-05,8,3--,120,Manuel Franco,170,1,161
164,AQU,2019-01-05,8,4--,118,Dylan Davis,3975,7,167
165,AQU,2019-01-05,8,5--,118,Reylu Gutierrez,2280,2,162
166,AQU,2019-01-05,8,6--,118,Sheldon Russell,1170,6,166
167,AQU,2019-01-05,8,7--,120,Jose Lezcano,550,5,165
168,AQU,2019-01-05,8,8--,120,David Cohen,600,8,168
169,AQU,2019-01-05,9,1--,123,Eric Cancel,590,1,169
170,AQU,2019-01-05,9,10-,121,Dylan Davis,215,7,175
171,AQU,2019-01-05,9,5--,116,Benjamin Hernandez,610,2,170
172,AQU,2019-01-05,9,6--,121,Manuel Franco,120,3,171
173,AQU,2019-01-05,9,7--,121,Michael J. Luzzi,1360,6,174
174,AQU,2019-01-05,9,8--,123,Luis R. Reyes,3800,4,172
175,AQU,2019-01-05,9,9--,116,Reylu Gutierrez,1900,5,173
176,AQU,2019-01-06,1,2--,121,Hector Rafael Diaz Jr.,305,2,177
177,AQU,2019-01-06,1,3--,123,Manuel Franco,250,1,176
178,AQU,2019-01-06,1,4--,123,Jose Lezcano,70,4,179
179,AQU,2019-01-06,1,6--,121,Eric Cancel,1200,3,178
180,AQU,2019-01-06,2,1--,123,Jose Lezcano,100,1,180
181,AQU,2019-01-06,2,3--,123,Andre Shivnarine Worrie,660,2,181
182,AQU,2019-01-06,2,4--,123,Dylan Davis,240,4,183
183,AQU,2019-01-06,2,5--,121,Edward Escobar,510,5,184
184,AQU,2019-01-06,2,6--,123,Michael J. Luzzi,810,3,182
185,AQU,2019-01-06,3,2--,121,Edward Escobar,5650,6,190
186,AQU,2019-01-06,3,3--,121,Dylan Davis,210,1,185
187,AQU,2019-01-06,3,4--,121,Rajiv Maragh,480,3,187
188,AQU,2019-01-06,3,5--,115,Kevin Carmona,160,2,186
189,AQU,2019-01-06,3,6--,116,Reylu Gutierrez,275,5,189
190,AQU,2019-01-06,3,7--,121,Luis R. Reyes,2800,4,188
191,AQU,2019-01-06,4,1--,119,Jose Lezcano,105,5,195
192,AQU,2019-01-06,4,2--,119,Manuel Franco,620,1,191
193,AQU,2019-01-06,4,4--,119,Dylan Davis,420,4,194
194,AQU,2019-01-06,4,5--,122,Michael J. Luzzi,2230,3,193
195,AQU,2019-01-06,4,6--,117,Reylu Gutierrez,200,2,192
196,AQU,2019-01-06,5,1--,120,Manuel Franco,165,2,197
197,AQU,2019-01-06,5,2--,120,Andre Shivnarine Worrie,2050,4,199
198,AQU,2019-01-06,5,3--,115,Reylu Gutierrez,2340,8,203
199,AQU,2019-01-06,5,4--,120,Dylan Davis,480,6,201
200,AQU,2019-01-06,5,5--,120,Hector Rafael Diaz Jr.,1050,3,198
201,AQU,2019-01-06,5,6--,120,Michael J. Luzzi,600,1,196
202,AQU,2019-01-06,5,7--,120,Eric Cancel,340,7,202
203,AQU,2019-01-06,5,8--,120,Harry Hernandez,830,5,200
204,AQU,2019-01-06,6,1--,123,Dylan Davis,870,6,209
205,AQU,2019-01-06,6,2--,121,Luis R. Reyes,365,5,208
206,AQU,2019-01-06,6,3--,121,Manuel Franco,120,1,204
207,AQU,2019-01-06,6,4--,123,Hector Rafael Diaz Jr.,1010,3,206
208,AQU,2019-01-06,6,5--,124,Charlie Amaro,4375,7,210
209,AQU,2019-01-06,6,6--,123,Eric Cancel,580,2,205
210,AQU,2019-01-06,6,7--,116,Reylu Gutierrez,660,4,207
211,AQU,2019-01-06,6,8--,123,Rajiv Maragh,2400,8,211
212,AQU,2019-01-06,7,1--,112,Joey R. Martinez,6050,1,212
213,AQU,2019-01-06,7,2--,120,Manuel Franco,740,6,217
214,AQU,2019-01-06,7,3--,120,Junior Alvarado,120,5,216
215,AQU,2019-01-06,7,4--,114,Reylu Gutierrez,110,2,213
216,AQU,2019-01-06,7,5--,111,Benjamin Hernandez,1860,3,214
217,AQU,2019-01-06,7,6--,120,Dylan Davis,1020,4,215
218,AQU,2019-01-06,8,1--,119,Junior Alvarado,480,2,219
219,AQU,2019-01-06,8,2--,121,Eric Cancel,1220,4,221
220,AQU,2019-01-06,8,3--,119,Manuel Franco,215,3,220
221,AQU,2019-01-06,8,4--,114,Reylu Gutierrez,375,7,224
222,AQU,2019-01-06,8,5--,123,Andre Shivnarine Worrie,3000,8,225
223,AQU,2019-01-06,8,6--,119,Luis R. Reyes,820,5,222
224,AQU,2019-01-06,8,7--,121,Michael J. Luzzi,2750,9,226
225,AQU,2019-01-06,8,8--,123,Dylan Davis,890,6,223
226,AQU,2019-01-06,8,9--,119,Edwin Rivera,590,1,218
227,AQU,2019-01-10,1,1--,125,Luis A. Rodriguez Castro,940,4,230
228,AQU,2019-01-10,1,1A-,125,Jorge M. Perez,940,3,229
229,AQU,2019-01-10,1,2--,123,Junior Alvarado,90,1,227
230,AQU,2019-01-10,1,3--,125,Manuel Franco,195,2,228
231,AQU,2019-01-10,1,4--,125,Eric Cancel,1010,5,231
232,AQU,2019-01-10,1,5--,123,Dylan Davis,560,6,232
233,AQU,2019-01-10,2,1--,123,Michael J. Luzzi,1440,4,236
234,AQU,2019-01-10,2,2--,123,Manuel Franco,410,5,237
235,AQU,2019-01-10,2,3--,123,Junior Alvarado,120,1,233
236,AQU,2019-01-10,2,4--,116,Benjamin Hernandez,155,3,235
237,AQU,2019-01-10,2,5--,123,Rajiv Maragh,990,2,234
238,AQU,2019-01-10,3,1--,116,Kevin Carmona,240,1,238
239,AQU,2019-01-10,3,2--,123,Talbert Howell,3500,6,243
240,AQU,2019-01-10,3,3--,123,Harry Hernandez,235,4,241
241,AQU,2019-01-10,3,5--,123,Manuel Franco,195,3,240
242,AQU,2019-01-10,3,6--,116,Joey R. Martinez,710,2,239
243,AQU,2019-01-10,3,7--,123,Luis R. Reyes,740,5,242
244,AQU,2019-01-10,4,1--,118,Reylu Gutierrez,640,3,246
245,AQU,2019-01-10,4,2--,123,Michael J. Luzzi,770,4,247
246,AQU,2019-01-10,4,3--,123,Dylan Davis,600,1,244
247,AQU,2019-01-10,4,4--,123,Eric Cancel,420,2,245
248,AQU,2019-01-10,4,5--,118,Junior Alvarado,550,5,248
249,AQU,2019-01-10,4,6--,123,Christopher P. DeCarlo,115,6,249
250,AQU,2019-01-10,5,1--,125,Dylan Davis,350,2,251
251,AQU,2019-01-10,5,2--,123,Carlos J. Hernandez,1010,6,255
252,AQU,2019-01-10,5,3--,123,Eric Cancel,1930,3,252
253,AQU,2019-01-10,5,4--,125,Junior Alvarado,140,1,250
254,AQU,2019-01-10,5,5--,125,Manuel Franco,245,4,253
255,AQU,2019-01-10,5,6--,123,Rajiv Maragh,640,5,254
256,AQU,2019-01-11,1,1--,123,Dylan Davis,420,5,259
257,AQU,2019-01-11,1,2--,123,Manuel Franco,680,1,256
258,AQU,2019-01-11,1,3--,123,Luis R. Reyes,5375,4,108
259,AQU,2019-01-11,1,4--,123,Jose Lezcano,410,6,260
260,AQU,2019-01-11,1,5--,118,Reylu Gutierrez,660,3,258
261,AQU,2019-01-11,1,6--,123,Eric Cancel,85,2,257
262,AQU,2019-01-11,2,1--,123,Manuel Franco,160,2,262
263,AQU,2019-01-11,2,2--,123,Junior Alvarado,355,6,266
264,AQU,2019-01-11,2,3--,125,Eric Cancel,2350,4,264
265,AQU,2019-01-11,2,4--,125,Dylan Davis,2030,3,263
266,AQU,2019-01-11,2,5--,123,Rajiv Maragh,170,1,261
267,AQU,2019-01-11,2,6--,123,Jose Lezcano,640,5,265
268,AQU,2019-01-11,3,3--,122,Dylan Davis,1430,5,271
269,AQU,2019-01-11,3,4--,122,Rajiv Maragh,60,1,267
270,AQU,2019-01-11,3,5--,115,Joey R. Martinez,1130,4,270
271,AQU,2019-01-11,3,6--,122,Rafael Manuel Hernandez,720,2,268
272,AQU,2019-01-11,3,7--,122,Joel Sone,4275,6,272
273,AQU,2019-01-11,3,8--,122,Jose Lezcano,245,3,269
274,AQU,2019-01-11,4,1--,125,Carlos J. Hernandez,3525,3,275
275,AQU,2019-01-11,4,2--,125,Junior Alvarado,305,1,273
276,AQU,2019-01-11,4,3--,123,Jose Lezcano,255,4,276
277,AQU,2019-01-11,4,5--,125,Manuel Franco,80,2,274
278,AQU,2019-01-11,4,6--,118,Reylu Gutierrez,990,5,277
279,AQU,2019-01-11,5,2--,122,Luis R. Reyes,3425,5,282
280,AQU,2019-01-11,5,4--,115,Benjamin Hernandez,330,2,279
281,AQU,2019-01-11,5,5--,122,Dylan Davis,250,1,278
282,AQU,2019-01-11,5,6--,122,Ruben Silvera,1780,6,283
283,AQU,2019-01-11,5,7--,115,Kevin Carmona,2500,3,280
284,AQU,2019-01-11,5,8--,122,Jose Lezcano,80,4,281
285,AQU,2019-01-11,6,2--,117,Reylu Gutierrez,2650,4,287
286,AQU,2019-01-11,6,3--,122,Rajiv Maragh,810,2,285
287,AQU,2019-01-11,6,4--,122,Dylan Davis,1230,3,286
288,AQU,2019-01-11,6,5--,126,Junior Alvarado,40,1,284
289,AQU,2019-01-11,6,6--,122,Dalton Brown,4150,7,290
290,AQU,2019-01-11,6,7--,122,Joel Sone,8575,6,289
291,AQU,2019-01-11,6,8--,122,Harry Hernandez,1070,8,291
292,AQU,2019-01-11,6,9--,126,Manuel Franco,540,5,288
293,AQU,2019-01-11,7,1--,123,Jose Lezcano,560,1,292
294,AQU,2019-01-11,7,10-,123,Rafael Manuel Hernandez,3175,2,293
295,AQU,2019-01-11,7,11-,125,Manuel Franco,450,10,301
296,AQU,2019-01-11,7,2--,125,Junior Alvarado,125,3,294
297,AQU,2019-01-11,7,3--,116,Kevin Carmona,1220,4,295
298,AQU,2019-01-11,7,4--,123,Dylan Davis,1050,9,300
299,AQU,2019-01-11,7,5--,118,Reylu Gutierrez,890,8,299
300,AQU,2019-01-11,7,6--,123,Luis R. Reyes,1810,6,297
301,AQU,2019-01-11,7,7--,116,Joey R. Martinez,1550,5,296
302,AQU,2019-01-11,7,8--,125,Harry Hernandez,6000,7,298
303,AQU,2019-01-11,8,1--,123,Dalton Brown,5000,8,309
304,AQU,2019-01-11,8,10-,116,Benjamin Hernandez,430,6,307
305,AQU,2019-01-11,8,11-,116,Joey R. Martinez,2800,7,308
306,AQU,2019-01-11,8,1A-,113,Heman K. Harkie,5000,11,312
307,AQU,2019-01-11,8,2--,123,Hector Rafael Diaz Jr.,6950,10,311
308,AQU,2019-01-11,8,3--,123,Rajiv Maragh,255,4,305
309,AQU,2019-01-11,8,4--,123,Luis R. Reyes,1590,3,304
310,AQU,2019-01-11,8,5--,116,Cristina Bonilla,12025,12,313
311,AQU,2019-01-11,8,6--,123,Harry Hernandez,2725,2,303
312,AQU,2019-01-11,8,7--,123,Samuel Jimenez,3950,9,310
313,AQU,2019-01-11,8,8--,123,Eric Cancel,630,5,306
314,AQU,2019-01-11,8,9--,118,Reylu Gutierrez,150,1,302
315,AQU,2019-01-12,1,1--,122,Manuel Franco,110,2,315
316,AQU,2019-01-12,1,2--,122,Luis R. Reyes,650,1,314
317,AQU,2019-01-12,1,3--,122,Rajiv Maragh,490,7,319
318,AQU,2019-01-12,1,4--,122,Hector Rafael Diaz Jr.,3000,3,316
319,AQU,2019-01-12,1,5--,122,Harry Hernandez,1090,4,317
320,AQU,2019-01-12,1,6--,115,Benjamin Hernandez,3475,6,318
321,AQU,2019-01-12,1,7--,120,Jose Lezcano,260,5,18
322,AQU,2019-01-12,2,1--,121,Dylan Davis,450,4,45
323,AQU,2019-01-12,2,2--,114,Joey R. Martinez,3275,6,324
324,AQU,2019-01-12,2,3--,121,Manuel Franco,180,3,322
325,AQU,2019-01-12,2,4--,121,Hector Rafael Diaz Jr.,870,7,325
326,AQU,2019-01-12,2,5--,121,Rafael Manuel Hernandez,305,2,321
327,AQU,2019-01-12,2,6--,121,Samuel Camacho Jr.,6625,5,323
328,AQU,2019-01-12,2,7--,125,Luis R. Reyes,275,1,320
329,AQU,2019-01-12,3,2--,125,Junior Alvarado,215,2,327
330,AQU,2019-01-12,3,3--,118,Reylu Gutierrez,1460,5,330
331,AQU,2019-01-12,3,4--,123,Manuel Franco,1220,1,326
332,AQU,2019-01-12,3,5--,125,Jose Lezcano,265,3,328
333,AQU,2019-01-12,3,6--,125,Dylan Davis,990,6,331
334,AQU,2019-01-12,3,7--,116,Benjamin Hernandez,165,4,329
335,AQU,2019-01-12,4,1--,122,Carlos J. Hernandez,1770,8,339
336,AQU,2019-01-12,4,2--,122,Manuel Franco,260,3,334
337,AQU,2019-01-12,4,3--,122,Andre Shivnarine Worrie,8025,1,332
338,AQU,2019-01-12,4,4--,122,Eric Cancel,1730,5,336
339,AQU,2019-01-12,4,5--,122,Jose Lezcano,60,4,335
340,AQU,2019-01-12,4,6--,122,Rafael Manuel Hernandez,6825,2,333
341,AQU,2019-01-12,4,8--,115,Joey R. Martinez,6025,6,337
342,AQU,2019-01-12,4,9--,117,Reylu Gutierrez,550,7,338
343,AQU,2019-01-12,5,1--,123,Dylan Davis,930,3,342
344,AQU,2019-01-12,5,2--,123,Tzeonn Chang,5400,8,347
345,AQU,2019-01-12,5,3--,118,Reylu Gutierrez,2050,6,345
346,AQU,2019-01-12,5,4--,123,Jose Lezcano,330,1,340
347,AQU,2019-01-12,5,5--,125,Eric Cancel,100,5,344
348,AQU,2019-01-12,5,6--,123,Manuel Franco,660,4,343
349,AQU,2019-01-12,5,7--,118,Benjamin Hernandez,3975,7,346
350,AQU,2019-01-12,5,8--,125,Rajiv Maragh,550,2,341
351,AQU,2019-01-12,6,1--,121,Harry Hernandez,6875,8,354
352,AQU,2019-01-12,6,2--,123,Carlos J. Hernandez,2120,7,353
353,AQU,2019-01-12,6,3--,121,Dylan Davis,910,3,350
354,AQU,2019-01-12,6,4--,123,Eric Cancel,170,2,349
355,AQU,2019-01-12,6,5--,121,Hector Rafael Diaz Jr.,650,1,348
356,AQU,2019-01-12,6,6--,116,Joey R. Martinez,690,4,351
357,AQU,2019-01-12,6,7--,121,Junior Alvarado,280,5,352
358,AQU,2019-01-12,6,8--,121,Michael J. Luzzi,580,6,96
359,AQU,2019-01-12,7,1--,123,Junior Alvarado,420,7,361
360,AQU,2019-01-12,7,10-,123,Rajiv Maragh,5600,8,362
361,AQU,2019-01-12,7,11-,123,Michael J. Luzzi,910,1,355
362,AQU,2019-01-12,7,2--,125,Luis R. Reyes,2775,5,359
363,AQU,2019-01-12,7,3--,123,Eric Cancel,460,6,360
364,AQU,2019-01-12,7,5--,123,Dylan Davis,1840,9,363
365,AQU,2019-01-12,7,6--,125,Jose Lezcano,360,2,356
366,AQU,2019-01-12,7,7--,125,Manuel Franco,640,4,358
367,AQU,2019-01-12,7,8--,125,David Cohen,360,3,357
368,AQU,2019-01-12,7,9--,118,Reylu Gutierrez,1710,10,364
369,AQU,2019-01-12,8,1--,120,Jose Lezcano,3050,8,372
370,AQU,2019-01-12,8,2--,125,Junior Alvarado,115,3,367
371,AQU,2019-01-12,8,4--,125,Reylu Gutierrez,3125,7,371
372,AQU,2019-01-12,8,5--,121,David Cohen,1730,6,370
373,AQU,2019-01-12,8,6--,120,Eric Cancel,460,5,369
374,AQU,2019-01-12,8,7--,120,Rajiv Maragh,610,2,366
375,AQU,2019-01-12,8,8--,120,Michael J. Luzzi,6275,4,368
376,AQU,2019-01-12,8,9--,120,Manuel Franco,255,1,365
377,AQU,2019-01-12,9,1--,123,Junior Alvarado,60,1,373
378,AQU,2019-01-12,9,10-,123,Carlos J. Hernandez,1320,3,375
379,AQU,2019-01-12,9,1A-,123,Luis R. Reyes,60,9,380
380,AQU,2019-01-12,9,2--,123,Dalton Brown,1620,4,376
381,AQU,2019-01-12,9,3--,123,Michael J. Luzzi,590,6,378
382,AQU,2019-01-12,9,4--,118,Reylu Gutierrez,4725,8,10
383,AQU,2019-01-12,9,5--,123,Gavin Coetzee,8400,10,381
384,AQU,2019-01-12,9,6--,113,Heman K. Harkie,1790,5,377
385,AQU,2019-01-12,9,7--,116,Benjamin Hernandez,990,2,374
